date,sum_open_interest,sum_open_interest_value,toptrader_ls_ratio,global_ls_ratio,taker_ls_vol_ratio,n_obs
2021-01-01,36157.80900000,1059723551.93661000,1.18575028,1.57427888,1.09879227,576
2021-01-02,34853.32300000,1119706916.56198000,1.20178738,1.57806143,1.87718667,576
2021-01-03,33950.28800000,1116764847.50656000,1.20252400,2.00660603,0.74973510,576
2021-01-04,30435.68500000,973231246.75525000,1.21539589,1.90533347,0.90607115,576
2021-01-05,30162.08600000,1026594346.12912000,1.26447871,1.92158938,0.96713797,576
2021-01-06,28133.64900000,1034528565.83483783,1.18894583,1.92171692,1.12856642,576
2021-01-07,30082.85800000,1190553773.29356000,1.18924530,2.13874162,1.28912850,576
2021-01-08,27038.64700000,1101461648.17835880,1.47145548,2.51084110,0.74026483,576
2021-01-09,30824.90000000,1238537249.06822083,1.38268163,2.86381984,0.60646510,576
2021-01-10,30599.66800000,1175269709.02526929,1.51312744,2.60455162,0.64380792,576
2021-01-11,26862.81900000,956422464.53505000,1.28343019,2.48810709,1.65388340,576
2021-01-12,23878.66500000,810547672.58595000,1.28400188,2.05989127,1.71313942,576
2021-01-13,28173.06100000,1053463531.65671032,1.10260836,2.52141901,1.58385533,576
2021-01-14,27287.51300000,1071136121.92323000,1.15500745,1.92373639,1.05236614,576
2021-01-15,28049.02900000,1029091105.47129000,1.11453490,2.28255916,0.95601678,576
2021-01-16,27405.69100000,992808664.59405196,1.11188883,2.15200994,0.79274844,576
2021-01-17,26739.11600000,957361120.96888415,1.17444779,2.23546719,0.68868851,576
2021-01-18,27609.20600000,1014737989.73366000,1.17070228,2.80961367,1.05639795,576
2021-01-19,28433.57000000,1028627045.10500000,1.15364334,2.45620340,0.74133878,576
2021-01-20,29734.30500000,1060055626.15365000,1.17778045,2.37914530,1.11612197,542
2021-01-21,29618.62000000,910163128.67651386,1.04993584,2.06140765,0.57755975,576
2021-01-22,26622.58900000,875729299.53558000,1.01617324,1.96244023,0.53866860,576
2021-01-23,26416.45800000,846841501.59648304,1.01859743,1.71691989,0.81370692,576
2021-01-24,27114.96900000,874918975.87269000,1.01363804,1.80758968,0.85115928,576
2021-01-25,27571.96800000,891489453.05071810,1.07929045,2.07212476,0.80159935,576
2021-01-26,27747.42200000,903872271.65000000,1.15739973,1.87730634,1.18890506,576
2021-01-27,28908.02700000,878470665.10136110,1.15341025,1.93999697,1.63741515,576
2021-01-28,30137.12700000,1000399501.74239956,1.10574986,1.46939319,0.62947473,576
2021-01-29,29140.12500000,995858818.05375000,1.26573533,2.73181633,0.97667509,576
2021-01-30,30149.60500000,1035269297.59270000,1.32087696,2.87426036,0.90409110,576
2021-01-31,31344.48500000,1040770267.78955820,1.23285030,2.48517027,0.86305861,576
2021-02-01,29459.03100000,987395029.83364786,1.30823062,2.58061296,3.62318695,576
2021-02-02,29932.53900000,1064149952.83779000,1.35207586,2.34544178,0.83368650,576
2021-02-03,29215.59200000,1095584700.00000000,1.39999706,1.92217754,1.35836675,576
2021-02-04,28884.91300000,1069294927.08395000,1.40108170,1.78435822,1.48864757,576
2021-02-05,29960.33000000,1143668469.08670338,1.31614269,2.04873220,1.45812112,558
2021-02-06,34135.40400000,1343977419.51780000,1.40703947,2.06464605,1.46056748,576
2021-02-07,31569.99200000,1228217595.06328000,1.30534881,2.26776423,0.58949268,574
2021-02-08,35475.83100000,1644533585.95995000,1.42965214,2.25124656,1.35748511,576
2021-02-09,33927.84200000,1580913939.85512000,1.39761750,2.22484862,0.99909411,576
2021-02-10,32793.76500000,1472440048.50000000,1.37389503,2.55151947,1.27048431,574
2021-02-11,35913.53900000,1717762527.13950000,1.41699072,2.60967352,1.13640545,552
2021-02-12,35273.31200000,1678436107.14688000,1.41680466,2.75989826,1.52838843,576
2021-02-13,33599.64300000,1584323630.38257000,1.35601380,2.77250061,1.41005728,576
2021-02-14,37214.94200000,1815942131.57076995,1.36545734,2.52159042,0.82305608,576
2021-02-15,34485.77900000,1655504428.40678830,1.43029594,1.99447923,1.06721542,570
2021-02-16,34695.49900000,1711318481.57064656,1.38301339,2.36664072,0.92220887,574
2021-02-17,37614.43600000,1965265510.93104000,1.37035895,1.88513041,1.19775240,576
2021-02-18,35206.36900000,1821481066.60894000,1.31383048,2.20953677,1.05148072,574
2021-02-19,35107.27600000,1936291744.60571682,1.40772981,1.92986337,1.91604682,436
2021-02-20,33056.59700000,1854298238.90605000,1.34539086,2.21262867,1.37167641,544
2021-02-21,33112.95100000,1904029967.32018446,1.33143968,2.26352327,1.12233313,576
2021-02-22,28756.23400000,1563005523.75989406,1.28072746,2.49781316,1.75143486,576
2021-02-23,25903.19400000,1257399600.73750431,1.30903597,1.93546289,1.21848429,576
2021-02-24,27406.73600000,1358375436.47709374,1.26785146,2.14103672,0.60856952,574
2021-02-25,28832.81100000,1359226859.59084992,1.23651918,2.47862461,0.96598619,576
2021-02-26,27216.54000000,1258228809.16200000,1.22748211,2.38834007,1.43455400,576
2021-02-27,27497.23000000,1269491564.69540000,1.23965541,2.16642959,1.28396906,576
2021-02-28,29564.76000000,1328386993.05797776,1.31484462,1.89137798,0.58122959,574
2021-03-01,28840.65200000,1429215814.25120000,1.25893525,2.15351957,0.68097996,576
2021-03-02,28791.30300000,1389096663.49946738,1.27061647,2.10548068,1.06850557,576
2021-03-03,28925.11900000,1462056007.00256000,1.23940931,2.30277898,0.57641243,576
