timestamp,sum_oi,sum_oi_value,global_long_acct,global_ls_ratio,top_pos_long_acct,top_pos_ls_ratio
1783814400000,101386.25600000,6467203161.25703600,0.5570,1.2573,0.5789,1.3747
1783900800000,100679.52300000,6418319591.25000000,0.5756,1.3563,0.5884,1.4295
1783987200000,107308.90400000,6686095881.52800000,0.6484,1.8441,0.6297,1.7009
1784073600000,105378.41000000,6851145712.62700000,0.5451,1.1983,0.5952,1.4703
1784160000000,102994.60600000,6666039336.79748900,0.5415,1.1810,0.5953,1.4708
1784246400000,101759.82200000,6492865497.45707100,0.5883,1.4290,0.6146,1.5945
1784332800000,100175.45800000,6401812818.94800000,0.6086,1.5549,0.6058,1.5365
1784419200000,101424.44900000,6572983839.00830000,0.5910,1.4450,0.5981,1.4882
1784505600000,102374.60800000,6623104789.63840000,0.5821,1.3929,0.5962,1.4767
1784592000000,101264.62600000,6605274763.29350950,0.5489,1.2168,0.5968,1.4801
1784678400000,104322.61800000,6939780491.38140000,0.5096,1.0392,0.5861,1.4161
1784764800000,102239.45700000,6756421156.07068100,0.5466,1.2056,0.6083,1.5529
1784851200000,104584.91500000,6805304178.10327600,0.6037,1.5233,0.6198,1.6302
1784937600000,106114.81800000,6803700116.81520000,0.6524,1.8769,0.6240,1.6599
1785024000000,107509.00000000,6917476416.90450900,0.6433,1.8035,0.6181,1.6188
1785110400000,104354.19800000,6821873937.91540000,0.6096,1.5615,0.6189,1.6242
1785196800000,105602.91000000,6729450397.13100000,0.6277,1.6860,0.6114,1.5734
1785283200000,103253.29700000,6598257390.16920000,0.6341,1.7330,0.6205,1.6350
1785369600000,104348.71000000,6674049577.76100000,0.6093,1.5595,0.6130,1.5839
1785456000000,106595.93600000,6902141264.72856600,0.5563,1.2538,0.5994,1.4960
1785542400000,109523.58900000,6884630899.82220000,0.6882,2.2072,0.6165,1.6072
1785628800000,108516.03000000,6813971110.56900000,0.6869,2.1939,0.6161,1.6050
1785715200000,109126.55900000,6934992824.45000000,0.6599,1.9403,0.6141,1.5913
1785801600000,108556.03000000,6893003948.11600000,0.5997,1.4981,0.6007,1.5043
1785888000000,108225.65200000,6934623587.29120000,0.5611,1.2784,0.6060,1.5381
1785974400000,107104.83200000,6922603001.00480000,0.5342,1.1468,0.6006,1.5036
1786060800000,105767.52700000,6800841409.34730000,0.5484,1.2143,0.6109,1.5698
1786147200000,106954.61300000,6939798035.19870300,0.5244,1.1026,0.6061,1.5390
1786233600000,107208.90600000,6960955962.32949350,0.5340,1.1459,0.6087,1.5558
1786320000000,107032.43400000,6943198658.02243400,0.5378,1.1636,0.6063,1.5401
