ts,open,high,low,close
1786255200000,34.61,34.65,34.59,34.65
1786258800000,34.65,34.65,34.59,34.6
1786262400000,34.6,34.6,34.45,34.51
1786266000000,34.51,34.54,34.46,34.47
1786269600000,34.47,34.53,34.36,34.38
1786273200000,34.38,34.41,34.36,34.41
1786276800000,34.41,34.47,34.36,34.41
1786280400000,34.41,34.41,34.31,34.32
1786284000000,34.32,34.49,34.32,34.47
1786287600000,34.47,34.61,34.47,34.61
1786291200000,34.61,34.66,34.6,34.65
1786294800000,34.65,34.76,34.49,34.49
1786298400000,34.49,34.49,34.4,34.43
1786302000000,34.43,34.46,34.43,34.46
1786305600000,34.46,34.5,34.46,34.47
1786309200000,34.47,34.59,34.21,34.58
1786312800000,34.58,34.93,34.36,34.82
1786316400000,34.82,34.96,34.8,34.93
1786320000000,34.93,34.93,34.68,34.75
1786323600000,34.75,34.81,34.34,34.59
1786327200000,34.59,34.81,34.58,34.66
1786330800000,34.66,34.77,34.57,34.75
1786334400000,34.75,34.75,34.64,34.68
1786338000000,34.68,34.73,34.3,34.3
1786341600000,34.3,34.31,34.24,34.29
1786345200000,34.27,34.37,34.26,34.36
1786348800000,34.36,34.72,34.26,34.69
1786352400000,34.69,34.75,34.6,34.75
1786356000000,34.75,34.76,34.67,34.68
1786359600000,34.68,34.69,34.63,34.63
1786363200000,34.63,34.73,34.63,34.73
1786366800000,34.73,35.51,34.73,35.46
1786370400000,35.46,35.62,35.3,35.62
1786374000000,35.62,35.88,35.62,35.84
1786377600000,35.84,36.19,35.83,36.18
1786381200000,36.18,36.28,36.05,36.07
1786384800000,36.07,36.1,36.02,36.08
1786388400000,36.08,36.28,36.08,36.2
1786392000000,36.2,36.31,36.12,36.23
1786395600000,36.23,36.3,36.21,36.28
1786399200000,36.28,36.3,36.24,36.3
1786402800000,36.3,36.37,36.28,36.33
1786406400000,36.33,36.35,36.27,36.32
1786410000000,36.32,36.33,36.12,36.12
1786413600000,36.12,36.12,36.07,36.09
1786417200000,36.06,36.06,35.93,35.95
1786420800000,35.95,35.98,35.93,35.98
1786424400000,35.98,36.02,35.96,35.98
1786428000000,35.98,36.05,35.92,35.98
1786431600000,35.98,36.02,35.89,35.91
1786435200000,35.91,35.93,35.83,35.83
1786438800000,35.83,35.87,35.73,35.73
1786442400000,35.73,35.99,35.54,35.93
1786446000000,35.93,35.94,35.83,35.83
1786449600000,35.83,35.84,35.73,35.78
1786453200000,35.78,35.91,35.76,35.79
1786456800000,35.79,35.93,35.68,35.89
1786460400000,35.89,36.01,35.74,35.97
1786464000000,35.97,36.17,35.97,36.16
1786467600000,36.16,36.18,36.06,36.07
1786471200000,36.07,36.07,35.92,35.94
1786474800000,35.94,36.04,35.9,35.9
1786478400000,35.9,35.93,35.81,35.88
1786482000000,35.88,35.97,35.83,35.84
1786485600000,35.84,36.14,35.83,35.99
1786489200000,35.99,36.15,35.99,36.13
1786492800000,36.13,36.21,36.03,36.06
1786496400000,36.06,36.16,36.06,36.15
1786500000000,36.15,36.16,35.98,36.03
1786503600000,35.98,36.0,35.94,35.96
1786507200000,35.96,36.0,35.92,35.92
1786510800000,35.92,35.94,35.87,35.89
1786514400000,35.89,35.99,35.85,35.91
1786518000000,35.91,35.93,35.79,35.79
1786521600000,35.8,35.8,35.66,35.71
1786525200000,35.71,35.72,35.54,35.57
1786528800000,35.57,35.94,35.55,35.94
1786532400000,35.94,36.12,35.92,36.12
1786536000000,36.12,36.24,36.05,36.05
1786539600000,36.05,36.14,36.03,36.09
1786543200000,36.09,36.19,35.97,36.02
1786546800000,36.02,36.07,35.85,35.89
1786550400000,35.89,35.91,35.84,35.86
1786554000000,35.86,35.86,35.78,35.79
1786557600000,35.79,35.92,35.77,35.91
1786561200000,35.91,35.92,35.76,35.82
1786564800000,35.82,35.83,35.75,35.75
1786568400000,35.75,35.85,35.71,35.8
1786572000000,35.8,35.85,35.72,35.84
1786575600000,35.84,35.87,35.73,35.82
1786579200000,35.82,35.88,35.67,35.73
1786582800000,35.73,35.84,35.7,35.8
1786586400000,35.8,35.86,35.76,35.77
1786590000000,35.64,35.64,35.56,35.56
1786593600000,35.56,35.64,35.44,35.55
1786597200000,35.55,35.7,35.55,35.59
1786600800000,35.59,35.63,35.54,35.54
1786604400000,35.54,35.56,35.51,35.56
1786608000000,35.56,35.78,35.5,35.77
1786611600000,35.77,35.89,35.2,35.2
1786615200000,35.2,35.32,35.2,35.32
1786618800000,35.32,35.58,35.32,35.52
1786622400000,35.52,35.56,35.4,35.4
1786626000000,35.4,35.41,35.31,35.32
1786629600000,35.32,35.39,35.26,35.31
1786633200000,35.31,35.45,35.24,35.44
1786636800000,35.44,35.46,35.27,35.37
1786640400000,35.37,35.4,35.25,35.28
1786644000000,35.28,35.3,35.17,35.17
1786647600000,35.17,35.25,35.07,35.09
1786651200000,35.09,35.2,34.92,34.92
1786654800000,34.92,34.99,34.85,34.91
1786658400000,34.91,34.96,34.79,34.88
1786662000000,34.88,34.88,34.78,34.81
