timestamp,sum_oi,sum_oi_value,global_long_acct,global_ls_ratio,top_pos_long_acct,top_pos_ls_ratio
1783814400000,2311258.82800000,4129861101.34887550,0.6252,1.6681,0.5731,1.3425
1783900800000,2298076.61200000,4150142515.14304000,0.6229,1.6518,0.5873,1.4231
1783987200000,2248537.15900000,3993527058.38054940,0.6681,2.0130,0.6002,1.5011
1784073600000,2453526.12300000,4638710093.92749000,0.6025,1.5157,0.5445,1.1956
1784160000000,2398072.07700000,4597247969.38719800,0.6064,1.5407,0.5751,1.3532
1784246400000,2275435.76400000,4241059606.82183460,0.6617,1.9560,0.5864,1.4179
1784332800000,2269765.35800000,4178456442.84936000,0.6929,2.2563,0.5830,1.3978
1784419200000,2292130.16300000,4267373330.96525000,0.6980,2.3113,0.5750,1.3527
1784505600000,2291677.63100000,4288851769.64019000,0.6833,2.1576,0.5814,1.3887
1784592000000,2304500.10200000,4386648778.81272300,0.6540,1.8902,0.5802,1.3819
1784678400000,2334141.82500000,4503259822.97250000,0.6294,1.6983,0.5813,1.3886
1784764800000,2367559.68600000,4577226816.54066000,0.6321,1.7181,0.5765,1.3613
1784851200000,2344181.70400000,4400990172.90664000,0.6829,2.1536,0.5781,1.3703
1784937600000,2317951.43900000,4312871404.53643100,0.7056,2.3967,0.5813,1.3881
1785024000000,2339276.70300000,4383797813.73238100,0.7041,2.3795,0.5639,1.2928
1785110400000,2369499.62300000,4629737650.84591100,0.6622,1.9603,0.5675,1.3119
1785196800000,2313865.09500000,4376546860.61260300,0.6846,2.1706,0.5621,1.2835
1785283200000,2290918.01100000,4401300174.85639200,0.6799,2.1240,0.5567,1.2558
1785369600000,2275188.85100000,4345188543.23137300,0.6871,2.1959,0.5770,1.3640
1785456000000,2322769.18600000,4453574499.08395700,0.6666,1.9994,0.5606,1.2759
1785542400000,2312158.70600000,4304524462.05852700,0.7250,2.6364,0.5812,1.3875
1785628800000,2271901.61400000,4189772799.49038000,0.7241,2.6245,0.5878,1.4258
1785715200000,2296287.93600000,4327079060.83968000,0.7044,2.3829,0.5929,1.4564
1785801600000,2327173.74500000,4328054459.21355000,0.7020,2.3557,0.5962,1.4763
1785888000000,2329080.47000000,4353081369.54988600,0.6966,2.2960,0.5983,1.4894
1785974400000,2311975.36900000,4411242946.30661700,0.6616,1.9551,0.5719,1.3358
1786060800000,2285682.78600000,4350057543.28706700,0.6672,2.0048,0.5586,1.2653
1786147200000,2274995.29400000,4352300304.30606800,0.6745,2.0722,0.5627,1.2870
1786233600000,2295846.41800000,4398803312.61513400,0.6712,2.0414,0.5683,1.3162
1786320000000,2283509.62600000,4360721664.20564500,0.6752,2.0788,0.5740,1.3474
