timestamp,sum_oi,sum_oi_value,global_long_acct,global_ls_ratio,top_pos_long_acct,top_pos_ls_ratio
1783814400000,8726069.35000000,669638561.91900000,0.6937,2.2648,0.5977,1.4858
1783900800000,8864167.08000000,681388523.43960000,0.6892,2.2175,0.5999,1.4993
1783987200000,9002779.12000000,674870213.90288040,0.7150,2.5088,0.6019,1.5122
1784073600000,8853575.77000000,688985266.42140000,0.6909,2.2352,0.6069,1.5442
1784160000000,8587031.27000000,663280512.68163930,0.7106,2.4554,0.6220,1.6453
1784246400000,8762162.35000000,659637748.05106970,0.7191,2.5600,0.6330,1.7245
1784332800000,8935678.87000000,670175915.25000000,0.7246,2.6311,0.6109,1.5702
1784419200000,9031146.50000000,681559748.78270160,0.7302,2.7064,0.6101,1.5645
1784505600000,8882234.46000000,678063090.62031870,0.7198,2.5689,0.6188,1.6231
1784592000000,8856654.37000000,689056026.56158650,0.6961,2.2906,0.6236,1.6571
1784678400000,8733471.43000000,681996783.96870000,0.6896,2.2216,0.6182,1.6191
1784764800000,8708601.47000000,678661312.55710000,0.6968,2.2982,0.6197,1.6293
1784851200000,8743056.21000000,662992130.07295690,0.7160,2.5211,0.6047,1.5300
1784937600000,9055716.28000000,669489104.58040000,0.7395,2.8388,0.6151,1.5980
1785024000000,9063446.37000000,675088180.54251180,0.7416,2.8700,0.6098,1.5627
1785110400000,8620480.04000000,661535638.26960000,0.7184,2.5511,0.6192,1.6259
1785196800000,8284045.36000000,614360453.12200870,0.7269,2.6617,0.6129,1.5831
1785283200000,8302472.96000000,612533302.62967900,0.7282,2.6792,0.6111,1.5713
1785369600000,8459023.32000000,623007067.51800000,0.7283,2.6805,0.6240,1.6594
1785456000000,8262610.77000000,615316624.04190000,0.7014,2.3490,0.6152,1.5987
1785542400000,8420952.78000000,613382200.49520000,0.7354,2.7793,0.6277,1.6860
1785628800000,8574428.37000000,616595505.61201360,0.7389,2.8300,0.6270,1.6809
1785715200000,8117229.45000000,597428087.52000000,0.7141,2.4977,0.6372,1.7565
1785801600000,8108014.59000000,596182312.80270000,0.7005,2.3389,0.6403,1.7798
1785888000000,8214137.90000000,605546245.98800000,0.6988,2.3201,0.6423,1.7954
1785974400000,8409177.61000000,622279143.14000000,0.7063,2.4048,0.6530,1.8815
1786060800000,8391725.87000000,609684438.68736760,0.7332,2.7481,0.6381,1.7635
1786147200000,8155375.81000000,600480320.89030000,0.7132,2.4868,0.6450,1.8167
1786233600000,8745563.42000000,664662819.92000000,0.6697,2.0276,0.6303,1.7046
1786320000000,8827933.36000000,672998007.04093020,0.6658,1.9922,0.6190,1.6246
