name,family,provenance,rebal,ic_1,icir_1,ic_5,ic_20,ic_base,ic_decay,n_days,ls_sharpe,fold_sharpes,pval,dsr_prob,turnover,pval_pass,verdict,reason,max_corr,delta_sharpe,delta_maxdd,improves_book
kbar_closepos_21,kbar,Qlib Alpha158,20,0.013782409117039757,2.2639783854200357,0.0270901242044614,0.04808244702152984,0.04808244702152984,,1943,1.2551194054636965,"[2.805246920790073, 1.4745114562945003, -0.16535986490815344, 0.5278286125121631]",0.07043238540093077,0.5097180011328691,0.018612089456144374,False,REJECTED,failed FDR,,,,False
pvcorr_21,volume,Qlib Alpha158,20,-0.029631443380216105,-4.79850008757055,-0.042379502015795774,-0.05194111343168922,-0.05194111343168922,,1943,0.9331124586304593,"[2.6395483987557444, -0.43310972992544694, 1.4327646329979782, -1.1424928613545506]",0.06310395212965147,0.22805379056775155,0.019274116579679132,False,REJECTED,failed FDR,,,,False
kbar_body_21,kbar,Qlib Alpha158,20,-0.00029743347972348245,-0.04535779070910425,0.018871436124203562,0.06040944262544634,0.06040944262544634,,1943,0.9134481805607992,"[2.7946611916715955, 0.5259481996107088, -0.47153307119208615, -0.10217528921195024]",0.027222344144081756,0.21873634488118432,0.020413493040887774,True,REJECTED,negative OOS fold,,,,False
mom_28,momentum,Qlib Alpha158,1,-0.014646642957780093,-1.8930978922864488,0.003218844157664946,0.012860678703749647,-0.014646642957780093,0.003218844157664946,1935,0.917239371005726,"[2.44389459616679, 0.4725496811584418, 1.169973209771907, -1.3312971884625306]",0.05834485242699139,0.21836599962143172,0.024808434426613124,False,REJECTED,failed FDR,,,,False
base_xsmom_28,baseline,in-repo alphas.py,1,-0.014646642957780093,-1.8930978922864488,0.003218844157664946,0.012860678703749647,-0.014646642957780093,0.003218844157664946,1935,0.917239371005726,"[2.44389459616679, 0.4725496811584418, 1.169973209771907, -1.3312971884625306]",0.05834485242699139,0.21836599962143172,0.024808434426613124,False,REJECTED,failed FDR,,,,False
mom_vadj_28,momentum,Jansen ML4T,1,-0.01094366899168385,-1.661166919203411,-0.0008626363379651659,0.022065529834525005,-0.01094366899168385,-0.0008626363379651659,1935,0.9049250967124992,"[1.9507312910138688, 0.12940281325993339, 1.2933979027417382, -0.5722330507407729]",0.09667992747777832,0.20795687655568496,0.021540755315575432,False,REJECTED,failed FDR,,,,False
kbar_closepos_21,kbar,Qlib Alpha158,5,0.013782409117039757,2.2639783854200357,0.0270901242044614,0.04808244702152984,0.0270901242044614,0.04808244702152984,1943,0.868283381605111,"[1.7125086390700353, 0.6066482873972497, 0.5447748111279687, 0.1357654850663828]",0.04386559109999655,0.1825706342944332,0.018876515043687453,False,REJECTED,failed FDR,,,,False
mom_vadj_42,momentum,Jansen ML4T,5,-0.009617811799630251,-1.412725260881194,-0.003859088633280536,0.014275935942378665,-0.003859088633280536,0.014275935942378665,1921,0.8425980020112669,"[1.5321725691000854, 0.4269834756912312, 1.0522318734088518, -0.03396290830532314]",0.801122045240042,0.1719507621282106,0.021012597414176992,False,REJECTED,failed FDR,,,,False
mom_28,momentum,Qlib Alpha158,5,-0.014646642957780093,-1.8930978922864488,0.003218844157664946,0.012860678703749647,0.003218844157664946,0.012860678703749647,1935,0.8211085527094193,"[2.284687717016155, 0.2528824685004686, 0.7104417749048973, -0.7267024302104715]",0.8520801906700564,0.16034585073785057,0.024025081046182156,False,REJECTED,failed FDR,,,,False
base_xsmom_28,baseline,in-repo alphas.py,5,-0.014646642957780093,-1.8930978922864488,0.003218844157664946,0.012860678703749647,0.003218844157664946,0.012860678703749647,1935,0.8211085527094193,"[2.284687717016155, 0.2528824685004686, 0.7104417749048973, -0.7267024302104715]",0.8520801906700564,0.16034585073785057,0.024025081046182156,False,REJECTED,failed FDR,,,,False
