time,acct,coin,action,price,units,reason,pnl
2026-07-04T21:09:47.541685+00:00,trend_1x,BTCUSDT,BUY,63294.72,0.007505,breakout,
2026-07-04T21:09:47.541977+00:00,trend_2x,BTCUSDT,BUY,63294.72,0.015009,breakout,
2026-07-04T21:09:47.542113+00:00,trend_3x,BTCUSDT,BUY,63294.72,0.022514,breakout,
2026-07-04T21:09:52.049408+00:00,trend_1x,ADAUSDT,BUY,0.1931,1110.255705,breakout,
2026-07-04T21:09:52.049559+00:00,trend_2x,ADAUSDT,BUY,0.1931,2220.511409,breakout,
2026-07-04T21:09:52.049639+00:00,trend_3x,ADAUSDT,BUY,0.1931,3330.767114,breakout,
2026-07-05T17:22:37.477676+00:00,trend_1x,BNBUSDT,BUY,587.34,0.808731,breakout,
2026-07-05T17:22:37.477863+00:00,trend_2x,BNBUSDT,BUY,587.34,1.617462,breakout,
2026-07-05T17:22:37.477948+00:00,trend_3x,BNBUSDT,BUY,587.34,2.426193,breakout,
2026-07-08T03:36:25.657129+00:00,trend_1x,ADAUSDT,SELL,0.1746,1110.255705,exit,-21.15
2026-07-08T03:36:25.657540+00:00,trend_2x,ADAUSDT,SELL,0.1746,2220.511409,exit,-42.3
2026-07-08T03:36:25.657687+00:00,trend_3x,ADAUSDT,SELL,0.1746,3330.767114,exit,-63.46
2026-07-10T04:06:31.954512+00:00,trend_1x,UNIUSDT,BUY,3.465,58.137644,breakout,
2026-07-10T04:06:31.954711+00:00,trend_2x,UNIUSDT,BUY,3.465,116.275288,breakout,
2026-07-10T04:06:31.954798+00:00,trend_3x,UNIUSDT,BUY,3.465,174.412931,breakout,
2026-07-15T14:02:43.144937+00:00,trend_1x,LINKUSDT,BUY,8.423,48.498583,breakout,
2026-07-15T14:02:43.145170+00:00,trend_2x,LINKUSDT,BUY,8.423,96.997166,breakout,
2026-07-15T14:02:43.145259+00:00,trend_3x,LINKUSDT,BUY,8.423,145.495749,breakout,
2026-07-15T17:33:26.423632+00:00,trend_1x,ETHUSDT,BUY,1931.95,0.205229,breakout,
2026-07-15T17:33:26.423866+00:00,trend_2x,ETHUSDT,BUY,1931.95,0.410457,breakout,
2026-07-15T17:33:26.423920+00:00,trend_3x,ETHUSDT,BUY,1931.95,0.615686,breakout,
2026-07-17T13:57:56.216017+00:00,trend_1x,BNBUSDT,SELL,564.78,0.808731,exit,-19.64
2026-07-17T13:57:56.216376+00:00,trend_2x,BNBUSDT,SELL,564.78,1.617462,exit,-39.29
2026-07-17T13:57:56.216490+00:00,trend_3x,BNBUSDT,SELL,564.78,2.426193,exit,-58.93
2026-07-17T17:20:08.929175+00:00,trend_1x,ETHUSDT,SELL,1830.88,0.205229,exit,-21.9
2026-07-17T17:20:08.929644+00:00,trend_2x,ETHUSDT,SELL,1830.88,0.410457,exit,-43.8
2026-07-17T17:20:08.929839+00:00,trend_3x,ETHUSDT,SELL,1830.88,0.615686,exit,-65.7
2026-07-18T21:00:49.545260+00:00,trend_1x,LTCUSDT,BUY,46.87,8.545443,breakout,
2026-07-18T21:00:49.545491+00:00,trend_2x,LTCUSDT,BUY,46.87,17.090886,breakout,
2026-07-18T21:00:49.545574+00:00,trend_3x,LTCUSDT,BUY,46.87,25.636329,breakout,
2026-07-24T17:45:58.035021+00:00,trend_1x,BTCUSDT,SELL,64093.85,0.007505,exit,4.56
2026-07-24T17:45:58.035431+00:00,trend_2x,BTCUSDT,SELL,64093.85,0.015009,exit,9.13
2026-07-24T17:45:58.035602+00:00,trend_3x,BTCUSDT,SELL,64093.85,0.022514,exit,13.69
2026-07-24T17:46:03.326452+00:00,trend_1x,LINKUSDT,SELL,8.369,48.498583,exit,-3.84
